145;Biscoito BAUDUCCO Integral com Gergelim;Grama;11811;0.3;1;453;67;10;16;0.06;6;11;1100
146;Cerveja;Grama;11811;0;1;55;4;0;0;0;0;0;0
147;Biscoito BAUDUCCO Toda Hora Integral;Grama;11811;0.27;1;430;63;12;15;0.03;3;11;1100
148;Champanhe;Grama;11811;0.01;1;77;2;0;0;0;0;0;0
149;Biscoito BITS CHIPITS Cebola e Salsa;Grama;11811;0.47;1;457;67;8;18;0;0;4.87;487
150;Cidra;Grama;11811;0.01;1;50;13;0;0;0;0;0;0
151;Biscoito BITS CHIPITS de Queijo;Grama;11811;0.5;1;460;67;8;18;0;0;9.87;987
152;Conhaque;Grama;11811;0.02;1;249;1;0;0;0;0;0;0
153;Biscoito BITS CHIPITS Original;Grama;11811;0.53;1;450;70;8;14;0.02;2;10.23;1023
154;Creme de Menta. teor 72 (bebída alcoólica);Grama;11811;0;1;371;21;0;0;0;0;0;0
155;Gim. teor 100;Grama;11811;0.03;1;295;0;0;0;0;0;0;0
156;Biscoito BREAK UP Recheado de Chocolate;Grama;11811;0.08;1;467;70;6;19;0;0;1.8;180
157;Gim. teor 80;Grama;11811;0.03;1;230;0;0;0;0;0;0;0
158;Gim. teor 86;Grama;11811;0.03;1;250;0;0;0;0;0;0;0
159;Gim. teor 90;Grama;11811;0.03;1;263;0;0;0;0;0;0;0
160;Gim. teor 94;Grama;11811;0.03;1;274;0;0;0;0;0;0;0
161;Biscoito BREAK UP Recheado de Chocolate ao Leite;Grama;11811;0.08;1;467;70;7;20;0;0;2.67;267
162;Licor de Café com Creme. teor 34;Grama;11811;0.03;1;327;21;3;16;0;0;0;0
163;Licor de Café. teor 53;Grama;11811;0.03;1;336;47;0;0;0;0;0;0
164;Biscoito BREAK UP Recheado de Coco;Grama;11811;0.08;1;467;70;7;20;0;0;2;200
165;Licor de Café. teor 63;Grama;11811;0.03;1;308;32;0;0;0;0;0;0
166;Licores;Grama;11811;0.03;1;342;25;0;0;0;0;0;0
167;Martini;Grama;11811;0;1;222;0;0;0;0;0;0;0
168;Pina Colada. em lata;Grama;11811;0;1;237;28;0;8;0;0;0;0
169;Pina Colada. preparada de receita;Grama;11811;0;1;186;28;0;2;0.01;1;0;0
170;Rum. teor 100;Grama;11811;0.02;1;295;0;0;0;0;0;0;0
